intent,snippet
a python class that acts like dict,"{'a': 'b', 'lumberjack': 'foo', 'foo': 'bar', 'c': 44}"
jabber bot - how to get the availability of contacts?,"if not conn.auth(jid.getNode(), password, res):
    log('unable to authorize with server.')"
convert jpg from adobergb to srgb using pil?,"return image.convert('RGB', adobe_to_xyz).convert('RGB', xyz_to_srgb)"
get total number of running greenlets in gevent?,"print(status)
if status['total'] == status['completed']:
    return
gevent.sleep(5)

def crawl(url):
    r = random.randint(0, 10)
gevent.sleep(r)
err = random.randint(0, 4)
if err == 0:
    raise Exception
greenlets = [gevent.spawn(crawl, each) for each in range(100)]
get_greenlet_status(greenlets)"
how to use jenkins environment variables in python script,"qualifier = re.sub('[-_]+', '', os.environ['BUILD_ID'])[0:12]"
how do i plot hatched bars using pandas?,"hatches = ''.join(h * len(df) for h in 'x/O.')
for bar, hatch in zip(bars, hatches):
    bar.set_hatch(hatch)
ax.legend(loc='center right', bbox_to_anchor=(1, 1), ncol=4)"
how to create a list in python with the unique values of a csv file?,"for row in DataCaptured:
    if row[0] not in Year:
        Year.append(row[0])
if row[1] not in Category:
    Category.append(row[1])
print(Category, Year)"
numpy all differing from builtin all,result = asarray(result)
is there a python library that allows to easily print ascii-art text?,print(''.join(line))
"cat, grep and cut - translated to python","with open('filename') as origin_file:
    for line in origin_file:
        line = re.findall('something', line)
if line:
    line = line[0].split('""')[1]
print(line)"
high performance mass short string search in python,"ls = 'my long string of stuff'
x = set([ls[p:y] for p in range(0, len(ls) + 1) for y in range(p + 1, len(
    ls) + 1)])
result = []"
getting next variable in a for loop,from collections import Counter
find array corresponding to minimal values along an axis in another array,"np.repeat(np.arange(x), y)"
generating digits of square root of 2,n_int = int(n)
how can i make an animation with contourf()?,import matplotlib.pyplot as plt
embed python cli in a ruby process?,"end
end"
check if list array contains element in another list,"len(set(sum(a, [])) & set(b) & set(c).is_empty()) > 0"
creating dynamically named variables in a function in python 3 / understanding exec / eval / locals in python 3,"exec('K = 89')
print(locals())"
how to access all dictionaries within a dictionary where a specific key has a particular value,cityIndex[item['city']] = [item]
thousand separator in format string with floats,"locale.setlocale(locale.LC_ALL, 'English')
""""""English_United States.1252"""""""
trying to create a pandas series within a dataframe with values based on whether or not keys are in another dataframe,"colors_df = pd.DataFrame(colors, columns=['fruit_name', 'color'])
df3.merge(colors_df, how='left').fillna('unknown')"
recursive iteration through nested json for specific key in python,"for k, v in json_input.items():
    pass"
how to multi-thread an operation within a loop in python,"threads.append(threading.Thread(target=process, args=(items, start, end)))"
how to read excel unicode characters using python,sys.stdout = codecs.getwriter('utf8')(sys.stdout)
running command with paramiko exec_command causes process to sleep before finishing,"def exec_command(self, command, bufsize=-1, timeout=None, get_pty=False):
    """"""
    Execute a command on the SSH server.  A new `.Channel` is opened and
    the requested command is executed.  The command's input and output
    streams are returned as Python ``file``-like objects representing
    stdin, stdout, and stderr.
    :param str command: the command to execute
    :param int bufsize:
        interpreted the same way as by the built-in ``file()`` function in
        Python
    :param int timeout:
        set command's channel timeout. See `Channel.settimeout`.settimeout
    :return:
        the stdin, stdout, and stderr of the executing command, as a
        3-tuple
    :raises SSHException: if the server fails to execute the command
    """""""
python numpy subtract elements that are matrices,"a[:, (None), :, :] - a[(None), :, :, :]"
fitting a line in 3d,"pts = np.add.accumulate(np.random.random((10, 3)))"
"in python, how do i check the size of a stringio object?","s = StringIO()
s.write('abc')
s.seek(0, os.SEEK_END)
print(s.tell())"
resizing a dialog with pyqt4,self.verticalLayout = QtGui.QVBoxLayout(self)
pybrain: how to print a network (nodes and weights),"if mod.paramdim > 0:
    print(('--parameters:', mod.params))
for conn in net.connections[mod]:
    print(('-connection to', conn.outmod.name))
if conn.paramdim > 0:
    print(('- parameters', conn.params))
if hasattr(net, 'recurrentConns'):
    print('Recurrent connections')
for conn in net.recurrentConns:
    print(('-', conn.inmod.name, ' to', conn.outmod.name))
if conn.paramdim > 0:
    pass"
python: convert simplejson dumped unicode datetime back to datetime object,"time
time = datetime.strptime(time, DATETIME_FORMAT)
time"
how to append multiple items in one line in python,newlist += mylist[i:i + 22]
fastest way to check if the set contains numbers in a given range in python,"for i in list:
    if i >= lower and i <= upper:
        pass"
python typeerror on regex,"""""""Use BeautifulSoup or lxml instead."""""""
how can i use a class instance variable as an argument for a method decorator in python?,"class Foo(object):
    pass"
how can one get the set of all classes with reverse relationships for a model in django?,burger.save()
